Season,No_Overall,No_Season,Title,Director,Writer,Original_Air_Date,Prod_code,US_Viewers_Mil
1,21,21,"""The One with the Fake Monica""",Gail Mancuso,Adam Chase & Ira Ungerleider,27-Apr-95,456671,28.4[5]
1,22,22,"""The One with the Ick Factor""",Robby Benson,Alexa Junge,4-May-95,456670,29.9[5]
1,23,23,"""The One with the Birth""",James Burrows,Story by : David Crane & Marta Kauffman. Teleplay by : Jeff Greenstein & Jeff Strauss,11-May-95,456672,28.7[5]
1,24,24,"""The One Where Rachel Finds Out""",Kevin S. Bright,Chris Brown,18-May-95,456673,31.3[5]
2,25,1,"""The One with Ross's New Girlfriend""",Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,21-Sep-95,457301,32.1[6]
2,26,2,"""The One with the Breast Milk""",Michael Lembeck,Adam Chase & Ira Ungerleider,28-Sep-95,457302,29.8[6]
2,27,3,"""The One Where Heckles Dies""",Kevin S. Bright,Michael Curtis & Gregory S. Malins,5-Oct-95,457303,30.2[6]
2,28,4,"""The One with Phoebe's Husband""",Gail Mancuso,Alexa Junge,12-Oct-95,457305,28.1[6]
2,29,5,"""The One with Five Steaks and an Eggplant""",Ellen Gittelsohn,Chris Brown,19-Oct-95,457304,28.3[6]
2,30,6,"""The One with the Baby on the Bus""",Gail Mancuso,Betsy Borns,2-Nov-95,457306,30.2[6]
2,31,7,"""The One Where Ross Finds Out""",Peter Bonerz,Michael Borkow,9-Nov-95,457307,30.5[6]
2,32,8,"""The One with the List""",Mary Kay Place,David Crane & Marta Kauffman,16-Nov-95,457308,32.9[6]
2,33,9,"""The One with Phoebe's Dad""",Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,14-Dec-95,457309,27.8[6]
2,34,10,"""The One with Russ""",Thomas Schlamme,Ira Ungerleider,4-Jan-96,457311,32.2[6]
2,35,11,"""The One with the Lesbian Wedding""",Thomas Schlamme,Doty Abrams,18-Jan-96,457312,31.6[6]
2,36,12,"""The One After the Superbowl"" (Pt I)",Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,28-Jan-96,457313,52.9[6]
2,37,13,"""The One After the Superbowl"" (Pt II)",Michael Lembeck,Michael Borkow,28-Jan-96,457314,52.9[6]
2,38,14,"""The One with the Prom Video""",James Burrows,Alexa Junge,1-Feb-96,457310,33.6[6]
2,39,15,"""The One Where Ross and Rachel...You Know""",Michael Lembeck,Michael Curtis & Gregory S. Malins,8-Feb-96,457315,32.9[6]
2,40,16,"""The One Where Joey Moves Out""",Michael Lembeck,Betsy Borns,15-Feb-96,457316,31.1[6]
2,41,17,"""The One Where Eddie Moves In""",Michael Lembeck,Adam Chase,22-Feb-96,457317,30.2[6]
2,42,18,"""The One Where Dr. Ramoray Dies""",Michael Lembeck,Story by : Alexa Junge. Teleplay by : Michael Borkow,21-Mar-96,457318,30.1[6]
2,43,19,"""The One Where Eddie Won't Go""",Michael Lembeck,Michael Curtis & Gregory S. Malins,28-Mar-96,457319,31.2[6]
